kaptCode,kaptName,kaptdPcnt,kaptdPcntu,welfareFacility,educationFacility,convenientFacility,kaptdWtimebus,kaptdWtimesub,subwayStation,subwayLine
A13585401,개포우성5차,180,0,"관리사무소, 어린이놀이터, 자전거보관소",중학교(대치중학교) 고등학교(숙명여고),관공서(도곡2동사무소) 병원(영동세브란스병원) 대형상가(타워팰리스) 공원(도곡근린공원),5~10분이내,5~10분이내,매봉,3호선
A13527007,도곡1차아이파크,8,540,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소","초등학교(언주) 중학교(도곡,역삼) 고등학교(은광여)",병원(영동세브란스),5분이내,5분이내,NA,"2호선, 신분당선"
A13527016,도곡개포한신아파트,370,0,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",중학교(대치중학교) 고등학교(숙명여고),관공서(도곡2동사무소) 병원(영동세브란스병원) 대형상가(타워팰리스) 공원(도곡근린공원),5~10분이내,5~10분이내,매봉,3호선
A13527008,도곡경남,38,351,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),병원(영동세브란스병원),10~15분이내,10~15분이내,양재,3호선
A13586101,도곡대림,79,47,"관리사무소, 노인정, 어린이놀이터","초등학교(언주초등학교) 중학교(은광여자중학교, 은성중학교) 고등학교(은광여자고등학교)","관공서(서초구청) 병원(영동세브란스병원,베드로병원) 백화점(롯데백화점, ) 대형상가(삼성디지털프라자, 이마트, 농협하나로마트, 코스트코) 공원(매봉공원)",5분이내,5~10분이내,"양재역, 매봉역","3호선, 신분당선"
A13527014,도곡대림아크로빌,0,1338,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",중학교(대치중학교) 고등학교(숙명여고),관공서(도곡동사무소) 병원(영동세브란스병원) 백화점(롯데백화점) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5~10분이내,도곡,"3호선, 분당선"
A13527001,도곡동양재디오빌,0,123,관리사무소,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),관공서(양재1동사무소) 병원(영동세브란스병원) 대형상가(LG하이프라자),5분이내,5~10분이내,양재,3호선
A13527203,도곡렉슬,0,4435,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소, 기타",초등학교(대도초등학교) 중학교(숙명여중) 고등학교(숙명여고),관공서(도곡동사무소) 병원(영동세브란스병원) 백화점(롯데백화점) 대형상가(도곡렉슬) 공원(도곡근린공원) 기타(도곡 시장),5분이내,5분이내,한티,수인선
A13527004,도곡삼성,219,0,"관리사무소, 어린이놀이터, 휴게시설",초등학교(대도초등학교) 중학교(대치중학교) 고등학교(숙명여고),관공서(도곡동사무소) 병원(영동세브란스) 백화점(롯데백화점) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5분이내,매봉,3호선
A13550502,도곡삼성래미안,58,1164,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",초등학교(대도) 중학교(숙명) 고등학교(숙명),관공서(도곡동사무소) 병원(영동세브란스) 백화점(롯데) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5~10분이내,도곡,"3호선, 분당선"
A13527019,도곡쌍용예가,59,355,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소, 기타","초등학교(언주초교) 중학교(은광여중교,도곡중교,대치중교) 고등학교(대치고교,은광여고교)",병원(강남세브란스병원),5~10분이내,5~10분이내,양재역,"3호선, 신분당선"
A13527010,도곡우성아파트,330,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(언주초등학교) 중학교(은성중학교) 고등학교(은광여고),관공서(도곡1동주민센터) 병원(강남베드로병원),5분이내,5~10분이내,NA,"3호선, 신분당선"
A13550403,도곡한신,441,0,"관리사무소, 노인정, 어린이놀이터","초등학교(언주초등학교) 중학교(도곡중학교, 은광여자중학교) 고등학교(은광여자고등학교)",병원(영동세브란스병원) 백화점(롯데백화점 강남점) 공원(도곡공원),10~15분이내,10~15분이내,양재,3호선
A13586102,도곡현대,73,79,"관리사무소, 자전거보관소",초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),관공서(도곡1동사무소) 병원(영동세브란스병원) 백화점() 대형상가() 공원(),10~15분이내,10~15분이내,양재,3호선
A13527002,도곡현대그린,30,126,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),관공서(도곡1동사무소) 병원(영동세브란스병원),10~15분이내,10~15분이내,양재,3호선
A13585404,래미안도곡카운티,0,510,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소","초등학교(대도초) 중학교(숙명여중) 고등학교(숙명여고,중대부속고)",관공서(강남구청) 병원(강남세브란스) 백화점(롯데),5~10분이내,5분이내,한티역,분당선
A13527011,아카데미스위트,3,805,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",중학교(대치중학교) 고등학교(숙명여고),관공서(도곡동사무소) 병원(영동세브란스병원) 백화점(롯데백화점) 대형상가(라성플라자) 공원(도곡근린공원),5분이내,5분이내,도곡,"3호선, 분당선"
A13527018,양재SK허브프리모,0,176,관리사무소,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),관공서(양재1동사무소) 병원(영동세브란스병원),5분이내,5분이내,양재,"3호선, 신분당선"
A13585804,역삼럭키,658,419,"관리사무소, 노인정, 주민공동시설",초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),관공서(도곡1동사무소) 병원(영동세브란스병원) 대형상가(삼성디지털프라자-강남점) 공원(도곡공원),5~10분이내,10~15분이내,양재,3호선
A13527006,역삼삼익,285,0,"관리사무소, 어린이놀이터, 자전거보관소",초등학교() 중학교() 고등학교(),관공서() 병원() 백화점() 대형상가() 공원(),5~10분이내,10~15분이내,NA,"2호선, 3호선, 9호선"
A13527003,우성캐릭터199 아파트,0,342,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 기타",중학교(대치중학교) 고등학교(숙명여고),관공서(도곡2동사무소) 병원(강남세브란스병원) 대형상가(타워팰리스) 공원(양재천),5~10분이내,5~10분이내,도곡,"3호선, 분당선"
A13527017,타워팰리스1차,24,3630,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교(개일초등학교) 중학교(대치중학교) 고등학교(숙명여고),관공서(도곡동사무소) 병원(영동세브란스병원) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5분이내,도곡,3호선
A13585402,타워팰리스2차,0,2276,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",중학교(대치중학교) 고등학교(숙명여고),관공서(대곡2동사무소) 병원(영동세브란스병원) 대형상가(SSG도곡점) 공원(도곡근린공원),5분이내,5분이내,도곡,"3호선, 분당선"
A13585403,타워팰리스G동,0,1266,"관리사무소, 노인정, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교(대도초) 중학교(대치중) 고등학교(숙명여고),관공서(도곡동사무소) 병원(영동세브란스병원) 백화점(롯데백화점) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5분이내,도곡,"3호선, 분당선"
A13527005,현대비전21,0,291,관리사무소,중학교(대치중학교) 고등학교(숙명여고),관공서(대곡2동사무소) 병원(영동세브란스병원) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5분이내,도곡,3호선
