kaptCode,kaptName,kaptdPcnt,kaptdPcntu,welfareFacility,educationFacility,convenientFacility,kaptdWtimebus,kaptdWtimesub,subwayStation,subwayLine
A13528003,대치삼성,227,1011,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",초등학교(대치초등학교) 중학교(단국대부속중학교) 고등학교(단국대부속고등학교),관공서(대치1동사무소) 병원(정재근치과) 백화점(롯데백화점) 대형상가(LG하이프라자) 공원(한터근린공원),5~10분이내,5~10분이내,대치역 / 한티역,"3호선, 신분당선"
A13583604,대치선경,1059,0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소, 기타",초등학교(대치초등학교) 중학교(대청중학교) 고등학교(단국공업고등학교),관공서(대치1동사무소) 병원(세일내과) 대형상가(하이마트-대치점) 공원(한터그린공원),5분이내,5분이내,대치,3호선
A13583402,대치쌍용2차,468,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",NA,공원(),5분이내,5~10분이내,학여울,3호선
A13528102,대치아이파크,0,1171,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소, 기타","초등학교(대도,대치) 중학교(대청,단국사대부속,숙명여) 고등학교(단국사대부속,숙명여)","백화점(롯데백화점) 공원(달터근린공원,양재천)",5분이내,5분이내,한티,분당선
A13583403,대치우성1차아파트,498,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",NA,관공서(대치2동 주민센타) 병원(삼성 서울병원) 백화점(현대백화점),5~10분이내,5~10분이내,학여울역,3호선
A13584101,대치포스코더샵,0,655,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(도곡초등학교) 중학교(단국대부속중학교) 고등학교(단국대부속고등학교),병원(신한철피부과의원) 백화점(현대백화점) 대형상가(LG하이프라자-테헤란로점) 공원(공원) 기타(코엑스),15~20분이내,15~20분이내,선릉,2호선
A13583701,대치현대,74,612,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(대현초등학교) 중학교(휘문중학교) 고등학교(휘문고등학교),관공서(대치2동사무소) 병원(이재신치과) 백화점(롯데백화점) 대형상가(전자랜드-대치점) 공원(대치목련공원),15~20분이내,15~20분이내,삼성,"2호선, 3호선, 분당선"
A10027800,래미안 대치 팰리스,0,3119,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",중학교() 고등학교(),관공서() 병원() 백화점() 대형상가() 공원(),5분이내,5분이내,"도곡역, 대치역","3호선, 분당선"
A13528007,래미안대치하이스턴,0,461,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",초등학교(대현초등학교) 중학교(휘문중학교) 고등학교(휘문고등학교),관공서(대치2동사무소) 병원(21세기한의원) 백화점(롯데백화점(강남점)) 대형상가(전자랜드-대치점),5~10분이내,10~15분이내,학여울,"2호선, 3호선, 분당선"
A13583404,쌍용대치1차,670,0,"관리사무소, 노인정",초등학교(대곡초등학교) 중학교(휘문중학교) 고등학교(휘문고등학교),공원(공원),5분이내,5분이내,학여울,3호선
A13583507,은마,3021,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(대곡초등학교) 중학교(휘문중학교) 고등학교(휘문고등학교),관공서(대치1동사무소) 병원(삼성의료원) 백화점(롯데) 대형상가(은마상가) 공원(공원) 기타(서울무역전시장),5분이내,5분이내,대치,3호선
A13528005,테헤란로대우아이빌,0,280,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소","초등학교(도곡초등학교) 중학교(단국대부속중학교) 고등학교(단국대부속중학교,경기고등학교)",병원(이든치과) 백화점(현대백화점) 대형상가(LG하이프라자-테헤란로점) 공원(선릉공원),5~10분이내,5~10분이내,선릉,2호선
A10024501,논현 기린힐스,0,176,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소",NA,NA,5분이내,5분이내,학동역,7호선
A13583301,논현동부센트레빌,13,226,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 커뮤니티공간",NA,NA,5분이내,5~10분이내,학동역.선정릉역,"7호선, 9호선"
A13582002,논현동현,580,0,"관리사무소, 노인정, 어린이놀이터",NA,NA,10~15분이내,10~15분이내,NA,7호선
A13501004,논현신동아,226,458,"관리사무소, 노인정, 어린이놀이터",초등학교(신구초등교) 중학교(언북중교) 대학교(영국메리스트우드골프대학교),"병원(안세병원) 대형상가(삼성디지털프라자) 공원(논현은행나무공원, 학동공원)",10~15분이내,10~15분이내,신사,"3호선, 7호선, 신분당선"
A13501001,동양파라곤,0,572,"관리사무소, 커뮤니티공간",초등학교(학동초등교) 중학교(언주중교) 고등학교(영동고교),관공서(논현2동사무소) 병원(서울산부인과) 대형상가(LG하이프라자) 공원(논현소나무공원),10~15분이내,10~15분이내,강남구청,"7호선, 분당선"
A13572601,동화히스토리,0,189,"관리사무소, 자전거보관소",초등학교(),병원(),5분이내,5분이내,NA,7호선
A13501002,마일스디오빌,16,184,관리사무소,초등학교(신구초등교) 중학교(언북중교),관공서(논현1동사무소) 병원(동국대강남한방병원) 대형상가(LG하이프라자-학동점) 공원(학동공원),5분이내,5~10분이내,학동,7호선
A13501006,아크로힐스논현,0,645,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타","초등학교(학동초등학교) 중학교(언북중학교, 언주중학교, 진선여자중학교) 고등학교(경기고등학교, 영동고등학교, 청담고등학교, 진선여자고등학교)","관공서(강남구청, 강남보건소, 강남교육구청, 강남도서관) 병원(강남세브란스병원) 백화점(현대백화점, 롯데백화점, 신세계백화점) 대형상가(이마트, 롯데마트) 공원(선릉공원) 기타(cctv는 주차장에 많이설치되어 면적보다 많이 설치됨이 확실합니다(168대 설치맞습니다))",5분이내,5분이내,선정릉역,"9호선, 분당선"
A13511101,"압구정 현대(10,13,14차)",344,0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",NA,관공서(동사무소외) 병원(중앙내과) 백화점(현대백화점),5분이내,5분이내,NA,3호선
A13511001,압구정미성1차,410,0,"관리사무소, 노인정, 어린이놀이터",중학교(신사중학교) 고등학교(현대고등학교),관공서(신사동사무소-강남구) 병원(김수철성형외과) 공원(신사공원),5분이내,5~10분이내,NA,3호선
A13511003,압구정미성2차,333,334,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교(신구초등학교) 중학교(신사중학교) 고등학교(현대고등학교),관공서(신사동사무소) 병원(강남성모병원) 백화점(현대백화점) 대형상가(미성상가),5분이내,5~10분이내,NA,3호선
A13511004,압구정신현대,2800,0,"관리사무소, 노인정, 어린이놀이터",초등학교(신구초등학교) 중학교(신사중학교) 고등학교(현대고등학교),관공서(동사무소외) 병원(이성복치과의원) 백화점(현대) 공원(신사공원),5분이내,5분이내,NA,3호선
A13590602,압구정한양3단지,596,0,"관리사무소, 어린이놀이터",초등학교(청담초등학교) 중학교(청담중학교) 고등학교(청담고등학교),"백화점(겔러리아백화점-명품관EAST, WEST,)",5분이내,5분이내,NA,"3호선, 신분당선"
A13551103,압구정한양아파트제1단지,941,0,노인정,초등학교(청담초) 중학교(청담중) 고등학교(청담고) 대학교(국제예술대),"관공서(청담동주민센터, 영동119안전센터, 압구정파출소) 병원(호산병원) 백화점(갤러리아백화점-명품관WEST) 대형상가(하나로마트) 공원(도산공원) 기타(청담도서관)",5분이내,5분이내,NA,신분당선
A13590204,압구정한양아파트제2단지,850,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",중학교(구정중학교) 고등학교(구정고등학교),"관공서(압구정2동주민센타) 병원(노스웨스턴치과) 백화점(현대백화점,갤러리아백화점) 공원(갈매기공원)",5~10분이내,5~10분이내,"압구정역, 압구정로데오역","3호선, 분당선"
A13511201,압구정현대8차,465,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",중학교(구정중학교) 고등학교(구정고등학교),관공서(압구정파출소) 병원(정지행한의원) 백화점(현대백화점) 공원(갈매기공원),5분이내,5~10분이내,압구정,"3호선, 분당선"
