"kaptCode","kaptName","kaptAddr","kaptDongCnt","kaptdaCnt","codeAptNm","doroJuso","hoCnt","kaptUsedate","kaptMparea_60","kaptMparea_85","kaptMparea_135","kaptMparea_136","bjdCode","kaptdPcnt","kaptdPcntu","subwayLine","num_Hospital","isPark","num_Elm_sch","num_Mid_sch","num_Hi_sch","Subway_new5~10분이내","Subway_new10~15분이내","Subway_new15분초과","Bus_new5~10분이내","Bus_new10분초과","codeHallNm계단식","codeHallNm복도식","codeHallNm타워형","codeHallNm혼합식","kaptBcompanyGS건설(주)","kaptBcompanySK에코플랜트(주)","kaptBcompany경남기업","kaptBcompany그외시공사","kaptBcompany대림산업(주)","kaptBcompany대우건설(주)","kaptBcompany동부건설","kaptBcompany라이프주택","kaptBcompany롯데건설(주)","kaptBcompany삼성","kaptBcompany삼성물산(주)","kaptBcompany삼성중공업","kaptBcompany삼익건설","kaptBcompany신동아","kaptBcompany신동아건설","kaptBcompany쌍용건설(주)","kaptBcompany우성건설(주)","kaptBcompany주택공사","kaptBcompany진흥기업(주)","kaptBcompany컨소시엄시공","kaptBcompany태영건설","kaptBcompany포스코건설(주)","kaptBcompany한신공영(주)","kaptBcompany한양주택(주)","kaptBcompany현대건설(주)","kaptBcompany현대산업개발(주)"
"A13510001","청담삼성1차","서울특별시 강남구 청담동 33 청담삼성1차",1,158,"아파트","서울특별시 강남구 삼성로133길 20",158,19971219,70,88,0,0,1168010400,25,135,"7호선",3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510002","청담휴먼스타빌","서울특별시 강남구 청담동 5-25 청담휴먼스타빌",1,191,"주상복합","서울특별시 강남구 도산대로 454",191,20051021,181,4,0,6,1168010400,142,142,"7호선",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510003","청담대우유로카운티","서울특별시 강남구 청담동 50-5 청담대우유로카운티",4,196,"아파트","서울특별시 강남구 도산대로92길 10",196,20040422,0,1,155,40,1168010400,15,358,"7호선",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510005","청담삼성진흥","서울특별시 강남구 청담동 65 청담삼성진흥",7,630,"아파트","서울특별시 강남구 학동로 513",630,19840718,0,2,242,386,1168010400,1050,0,"7호선",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A13510006","청담대림","서울특별시 강남구 청담동 30-33 청담대림",4,271,"아파트","서울특별시 강남구 학동로77길 27",271,20021230,0,152,119,0,1168010400,115,285,"7호선",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510007","청담자이","서울특별시 강남구 청담동 134-38 청담자이",5,708,"아파트","서울특별시 강남구 영동대로138길 12",708,20111021,388,116,204,0,1168010400,0,905,"7호선",1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510009","청담래미안로이뷰","서울특별시 강남구 청담동 134 청담래미안로이뷰",1,177,"아파트","서울특별시 강남구 영동대로142길 16",177,19920131,0,0,177,0,1168010400,49,167,"7호선",1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510102","청담현대3차","서울특별시 강남구 청담동 127-31 청담현대3차",4,317,"아파트","서울특별시 강남구 도산대로101길 29",317,19990619,101,76,140,0,1168010400,60,354,"7호선",1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A13510103","삼성청담공원","서울특별시 강남구 청담동 60 삼성청담공원",8,391,"아파트","서울특별시 강남구 도산대로96길 39",391,19990830,75,86,230,0,1168010400,100,454,"7호선",1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510201","청담삼환","서울특별시 강남구 청담동 10 청담삼환",1,184,"아파트","서울특별시 강남구 학동로77길 49",184,19991130,56,82,46,0,1168010400,69,137,"7호선, 분당선",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13510202","청담2차현대아파트","서울특별시 강남구 청담동 23 청담2차현대아파트",2,214,"아파트","서울특별시 강남구 선릉로 748",214,19880530,0,214,0,0,1168010400,113,75,"7호선",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A13510203","청담래미안","서울특별시 강남구 청담동 42 청담래미안",2,217,"아파트","서울특별시 강남구 학동로 405",217,19991029,51,58,108,0,1168010400,44,275,"7호선, 분당선",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13511001","압구정미성1차","서울특별시 강남구 압구정동 414 압구정미성1차",3,322,"아파트","서울특별시 강남구 압구정로11길 17",322,19821118,0,1,125,196,1168011000,410,0,"3호선",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13511003","압구정미성2차","서울특별시 강남구 압구정동 397 압구정미성2차",9,911,"아파트","서울특별시 강남구 압구정로 113",911,19871205,0,459,180,272,1168011000,333,334,"3호선",1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13511004","압구정신현대","서울특별시 강남구 압구정동 426 압구정신현대",27,1924,"아파트","서울특별시 강남구 압구정로 151",1924,19820525,0,1,871,1052,1168011000,2800,0,"3호선",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A13511101","압구정 현대(10,13,14차)","서울특별시 강남구 압구정동 436 압구정 현대(10,13,14차)",10,766,"아파트","서울특별시 강남구 압구정로29길 69",766,19820614,0,389,329,48,1168011000,344,0,"3호선",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A13511201","압구정현대8차","서울특별시 강남구 압구정동 481 압구정현대8차",5,515,"아파트","서울특별시 강남구 압구정로 309",515,19800915,0,0,371,144,1168011000,465,0,"3호선, 분당선",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
