kaptCode,kaptName,kaptAddr,kaptDongCnt,kaptdaCnt,kaptAcompany,kaptBcompany,codeAptNm,doroJuso,hoCnt,codeHallNm,kaptUsedate,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,bjdCode
A10024258,디에이치포레센트아파트,서울특별시 강남구 일원동 690-1 디에이치포레센트아파트,4,184,일원동 대우정비사업주택조합,현대건설,NA,서울특별시 강남구 개포로110길 38,184,계단식,20210122,39,80,65,0,1168011400
A10025823,래미안개포루체하임,서울특별시 강남구 일원동 690-2 래미안개포루체하임,12,850,현대아파트 재건축 조합,삼성물산,아파트,서울특별시 강남구 개포로110길 50,850,계단식,20181121,210,395,239,6,1168011400
A13594702,상록수아파트,서울특별시 강남구 일원동 734 상록수아파트,22,740,"남광토건, 대우","남광, 대우",아파트,서울특별시 강남구 광평로10길 15,740,계단식,19930327,0,740,0,0,1168011400
A13593802,수서1-1단지아파트,서울특별시 강남구 일원동 711 수서1-1단지아파트,14,2214,SH공사,(주)신한외 8개업체,아파트,서울특별시 강남구 양재대로55길 10,2214,복도식,19921126,2214,0,0,0,1168011400
A13523003,수서가람,서울특별시 강남구 일원동 735 수서가람,13,496,..,동원건설(248세대)/두산건설(248세대),아파트,서울특별시 강남구 일원로 127,496,계단식,19930309,0,496,0,0,1168011400
A13593801,일원동 수서아파트,서울특별시 강남구 일원동 711 일원동 수서아파트,7,720,서울시도시개발공사,신한건설,아파트,서울특별시 강남구 양재대로55길 12,720,혼합식,19921126,720,0,0,0,1168011400
A13523005,일원목련타운,서울특별시 강남구 일원동 716 일원목련타운,8,650,진로.금호,금호.진로,아파트,서울특별시 강남구 광평로19길 15,650,계단식,19930925,0,0,650,0,1168011400
A13523004,일원샘터마을,서울특별시 강남구 일원동 718 일원샘터마을,9,628,"극동건설,현대건설",극동건설/현대건설,아파트,서울특별시 강남구 일원로 120,628,계단식,19940214,0,0,613,15,1168011400
A13523001,일원청솔빌리지,서울특별시 강남구 일원동 739 일원청솔빌리지,13,291,태신개발(주),태신개발(주),연립주택,서울특별시 강남구 광평로10길 50,291,복도식,19931213,291,0,0,0,1168011400
A13594203,푸른마을아파트,서울특별시 강남구 일원동 719 푸른마을아파트,11,930,"삼성종합건설(주),삼호건설","삼성종합건설(주), (주)삼호건설",아파트,서울특별시 강남구 일원로14길 25,930,혼합식,19940127,466,464,0,0,1168011400
A13594701,한솔마을,서울특별시 강남구 일원동 731 한솔마을,19,570,"건영종합건설, 삼익주택,라이프주택","(주)건영,삼익주택,라이프주택",아파트,서울특별시 강남구 광평로10길 6,570,계단식,19940603,0,570,0,0,1168011400
A10027446,강남더샵포레스트,서울특별시 강남구 수서동 537 강남더샵포레스트,10,400,한국자산신탁,포스코건설,아파트,서울특별시 강남구 광평로34길 35,400,계단식,20160727,0,0,204,196,1168011500
A13552002,강남데시앙포레,서울특별시 강남구 수서동 559 강남데시앙포레,14,787,SH공사,태영건설,아파트,서울특별시 강남구 광평로34길 55,787,계단식,20140805,297,340,150,0,1168011500
A13552001,서울주택도시공사 수서6단지,서울특별시 강남구 수서동 723 서울주택도시공사 수서6단지,7,1512,SH공사,(주)동신주택,아파트,서울특별시 강남구 광평로56길 11,1508,복도식,19921214,1512,0,0,0,1168011500
A13522007,수서까치마을,서울특별시 강남구 수서동 746 수서까치마을,7,1403,.,진흥기업,아파트,서울특별시 강남구 광평로19길 10,1403,복도식,19930908,1403,0,0,0,1168011500
A13588601,수서동익,서울특별시 강남구 수서동 738 수서동익,4,330,동익건설(주),동익건설(주),아파트,서울특별시 강남구 광평로39길 3,330,계단식,19931126,0,330,0,0,1168011500
A13522004,수서삼성,서울특별시 강남구 수서동 747 수서삼성,12,680,삼성생명보험(주),삼성물산(주),아파트,서울특별시 강남구 광평로31길 27,680,계단식,19971101,98,582,0,0,1168011500
A13522003,수서삼익,서울특별시 강남구 수서동 708 수서삼익,5,645,도시개발,삼익건설,아파트,서울특별시 강남구 광평로51길 27,645,복도식,19921028,495,150,0,0,1168011500
A13522006,수서신동아,서울특별시 강남구 수서동 736 수서신동아,8,1162,서울도시개발공사,신동아,아파트,서울특별시 강남구 광평로47길 17,1162,복도식,19921028,1162,0,0,0,1168011500
A13522008,수서주공,서울특별시 강남구 수서동 707 수서주공,14,2565,한국토지주택공사,럭키개발,아파트,서울특별시 강남구 광평로51길 49,2565,복도식,19921017,2565,0,0,0,1168011500
A13588402,수서한아름,서울특별시 강남구 수서동 712 수서한아름,7,498,"한라, 두진","한라, 두진",아파트,서울특별시 강남구 광평로51길 22,498,계단식,19931101,0,0,438,60,1168011500
A13527013,개포4차우성,서울특별시 강남구 도곡동 465 개포4차우성,8,459,(주)우성건설,(주)우성건설,아파트,서울특별시 강남구 언주로 117,459,혼합식,19851226,0,99,144,216,1168011800
A13585401,개포우성5차,서울특별시 강남구 도곡동 463-1 개포우성5차,4,180,우성건설,우성건설,아파트,서울특별시 강남구 언주로29길 34,180,계단식,19861027,0,180,0,0,1168011800
A13527007,도곡1차아이파크,서울특별시 강남구 도곡동 543-7 도곡1차아이파크,5,321,서린아파트,현대산업개발,아파트,NA,321,계단식,20070327,0,123,198,0,1168011800
A13527016,도곡개포한신아파트,서울특별시 강남구 도곡동 464 도곡개포한신아파트,8,620,한신공영,한신공영(주),아파트,서울특별시 강남구 언주로 123,620,혼합식,19851214,404,216,0,0,1168011800
A13527008,도곡경남,서울특별시 강남구 도곡동 967 도곡경남,4,348,경남기업,경남기업,아파트,서울특별시 강남구 논현로 209,348,혼합식,20050602,120,192,36,0,1168011800
A13586101,도곡대림,서울특별시 강남구 도곡동 960 도곡대림,2,197,법무부 주택조합외 4개주택조합,대림건설,아파트,서울특별시 강남구 논현로41길 10,197,계단식,19921119,0,197,0,0,1168011800
A13527014,도곡대림아크로빌,서울특별시 강남구 도곡동 467-6 도곡대림아크로빌,2,490,대림산업,대림산업,주상복합,서울특별시 강남구 언주로30길 13,490,계단식,19991126,4,6,174,306,1168011800
A13527001,도곡동양재디오빌,서울특별시 강남구 도곡동 952 도곡동양재디오빌,1,155,대우건설,대우건설,주상복합,서울특별시 강남구 강남대로 256,155,복도식,20040423,155,0,0,0,1168011800
A13527203,도곡렉슬,서울특별시 강남구 도곡동 527 도곡렉슬,34,3002,도곡주공재건축조합,"현대,쌍용,GS",아파트,서울특별시 강남구 선릉로 221,3002,계단식,20060127,601,936,1402,63,1168011800
A13527004,도곡삼성,서울특별시 강남구 도곡동 161 도곡삼성,4,231,삼성생명보험(주),삼성건설,아파트,서울특별시 강남구 남부순환로379길 14,231,혼합식,19941230,115,116,0,0,1168011800
A13550502,도곡삼성래미안,서울특별시 강남구 도곡동 91-5 도곡삼성래미안,10,732,(주)삼성물산,(주)삼성물산,아파트,서울특별시 강남구 남부순환로 2803,732,계단식,20011201,144,192,396,0,1168011800
A13527019,도곡쌍용예가,서울특별시 강남구 도곡동 902-8 도곡쌍용예가,5,384,도곡동신아파트리모델링주택조합,쌍용건설(주),아파트,서울특별시 강남구 남부순환로363길 30,384,계단식,19781226,0,48,288,48,1168011800
A13527010,도곡우성아파트,서울특별시 강남구 도곡동 934-10 도곡우성아파트,2,390,을지조합,우성건설,아파트,서울특별시 강남구 남부순환로363길 49,390,혼합식,19861031,0,390,0,0,1168011800
A13550403,도곡한신,서울특별시 강남구 도곡동 895-8 도곡한신,5,421,(주)한신공영,(주)한신공영,아파트,NA,421,혼합식,19880716,65,266,90,0,1168011800
A13586102,도곡현대,서울특별시 강남구 도곡동 961 도곡현대,3,211,현대산업개발,현대산업개발,아파트,서울특별시 강남구 도곡로18길 34,211,복도식,19941230,0,211,0,0,1168011800
A13527002,도곡현대그린,서울특별시 강남구 도곡동 964 도곡현대그린,1,171,공업진흥청주택조합,현대산업개발,아파트,서울특별시 강남구 논현로51길 25,171,계단식,20061019,0,171,0,0,1168011800
A13585404,래미안도곡카운티,서울특별시 강남구 도곡동 538 래미안도곡카운티,8,397,삼성물산,삼성물산,아파트,서울특별시 강남구 도곡로 320,397,계단식,20160902,81,159,157,0,1168011800
A13527011,아카데미스위트,서울특별시 강남구 도곡동 467-7 아카데미스위트,1,414,라성건설(주),라성건설(주),주상복합,NA,414,계단식,20041115,0,88,220,106,1168011800
A13527018,양재SK허브프리모,서울특별시 강남구 도곡동 953-1 양재SK허브프리모,1,176,SK건설,SK건설,주상복합,서울특별시 강남구 강남대로 240,176,복도식,20060118,67,109,0,0,1168011800
A13585804,역삼럭키,서울특별시 강남구 도곡동 963 역삼럭키,10,1094,럭키,럭키,아파트,서울특별시 강남구 논현로 213,1094,혼합식,19951228,0,674,420,0,1168011800
A13527006,역삼삼익,서울특별시 강남구 도곡동 869 역삼삼익,2,247,삼익주택,삼익주택,아파트,서울특별시 강남구 논현로 218,247,혼합식,19830611,0,0,143,104,1168011800
A13527003,우성캐릭터199 아파트,서울특별시 강남구 도곡동 467-24 우성캐릭터199 아파트,2,199,(주)우성건설,(주)우성건설,주상복합,서울특별시 강남구 언주로 118,199,계단식,19981107,0,0,99,100,1168011800
A13527017,타워팰리스1차,서울특별시 강남구 도곡동 467 타워팰리스1차,4,1297,삼성전자,삼성물산,주상복합,서울특별시 강남구 언주로30길 56,1297,복도식,20021023,0,114,84,1099,1168011800
A13585402,타워팰리스2차,서울특별시 강남구 도곡동 467-17 타워팰리스2차,2,813,삼성중공업,삼성중공업,주상복합,서울특별시 강남구 언주로30길 57,813,혼합식,20030228,0,8,206,599,1168011800
A13585403,타워팰리스G동,서울특별시 강남구 도곡동 467-29 타워팰리스G동,1,480,삼성생명,삼성중공업,주상복합,서울특별시 강남구 언주로30길 26,480,복도식,20040419,0,0,76,404,1168011800
A13527005,현대비전21,서울특별시 강남구 도곡동 467-19 현대비전21,1,232,ㅁ,ㅁ,주상복합,서울특별시 강남구 언주로30길 10,232,복도식,19991130,232,0,0,0,1168011800
