kaptCode,kaptName,kaptAddr,kaptDongCnt,kaptdaCnt,kaptAcompany,kaptBcompany,codeAptNm,doroJuso,hoCnt,codeHallNm,kaptUsedate,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,bjdCode
A10024564,개포래미안포레스트,서울특별시 강남구 개포동 1282 개포래미안포레스트,31,2296,개포시영아파트 주택재건축 정비사업조합,삼성물산(주),아파트,서울특별시 강남구 개포로 264,2296,혼합식,20200928,900,905,458,33,1168010300
A13524004,개포우성3차,서울특별시 강남구 개포동 652 개포우성3차,5,405,우성건설,우성건설,아파트,서울특별시 강남구 개포로 307,405,혼합식,19841231,0,0,285,120,1168010300
A13580002,개포우성8차,서울특별시 강남구 개포동 179 개포우성8차,3,261,영동전화국 주택조합,우성건설,아파트,서울특별시 강남구 개포로 411,261,혼합식,19870921,0,261,0,0,1168010300
A13593901,개포자이아파트,서울특별시 강남구 개포동 12-2 개포자이아파트,4,212,LG건설,박연정,아파트,서울특별시 강남구 개포로109길 69,212,계단식,20040617,0,0,84,128,1168010300
A10023348,개포자이프레지던스,서울특별시 강남구 개포동 0 개포자이프레지던스,35,3375,개포주공4단지주택재건축조합,GS건설,NA,서울특별시 강남구 삼성로 14,3375,혼합식,20230228,168,900,2040,267,1168010300
A13599402,개포주공5단지,서울특별시 강남구 개포동 187 개포주공5단지,6,940,대우건설,대한주택공사,아파트,서울특별시 강남구 삼성로4길 17,940,복도식,19831026,190,750,0,0,1168010300
A13599303,개포주공6단지,서울특별시 강남구 개포동 185 개포주공6단지,9,1060,대한주택공사,현대건설(주),아파트,서울특별시 강남구 개포로 516,1060,혼합식,19831026,220,840,0,0,1168010300
A13599301,개포주공7단지,서울특별시 강남구 개포동 185 개포주공7단지,8,900,주택공사,주택공사,아파트,서울특별시 강남구 개포로 516,900,복도식,19831026,180,720,0,0,1168010300
A13524005,개포현대1차,서울특별시 강남구 개포동 653 개포현대1차,6,416,현대,현대산업개발(주),아파트,서울특별시 강남구 개포로 303,416,계단식,19840420,0,0,208,208,1168010300
A13580001,개포현대3차,서울특별시 강남구 개포동 177 개포현대3차,5,198,현대건설(주),현대건설(주),아파트,서울특별시 강남구 개포로 409,198,계단식,19860331,0,54,36,108,1168010300
A13594007,대청,서울특별시 강남구 개포동 12 대청,6,822,도시개발공사,삼익건설,아파트,서울특별시 강남구 개포로109길 21,822,복도식,19921014,822,0,0,0,1168010300
A10025203,디에이치 아너힐즈,서울특별시 강남구 개포동 138 디에이치 아너힐즈,23,1320,개포주공3단지주택재건축정비사업조합,현대건설,아파트,서울특별시 강남구 삼성로 11,1320,혼합식,20190829,426,629,261,4,1168010300
A10025675,래미안블레스티지,서울특별시 강남구 개포동 1280 래미안블레스티지,23,1957,개포주공2단지주택재건축정비사업조합,삼성물산,아파트,서울특별시 강남구 선릉로 8,1957,계단식,20190226,661,780,511,5,1168010300
A13510103,삼성청담공원,서울특별시 강남구 청담동 60 삼성청담공원,8,391,삼성물산,삼성물산,아파트,서울특별시 강남구 도산대로96길 39,391,혼합식,19990830,75,86,230,0,1168010400
A13510202,청담2차현대아파트,서울특별시 강남구 청담동 23 청담2차현대아파트,2,214,1,현대산업개발,아파트,서울특별시 강남구 선릉로 748,214,계단식,19880530,0,214,0,0,1168010400
A13576201,청담건영아파트,서울특별시 강남구 청담동 108 청담건영아파트,2,240,청강연합주택조합,건영종합건설(주),아파트,서울특별시 강남구 도산대로89길 49,240,계단식,19940905,0,240,0,0,1168010400
A13510006,청담대림,서울특별시 강남구 청담동 30-33 청담대림,4,271,에코프렌드,대림산업,아파트,서울특별시 강남구 학동로77길 27,271,계단식,20021230,0,152,119,0,1168010400
A13510003,청담대우유로카운티,서울특별시 강남구 청담동 50-5 청담대우유로카운티,4,196,(주)대우건설,(주)대우건설,아파트,서울특별시 강남구 도산대로92길 10,196,계단식,20040422,0,1,155,40,1168010400
A13510203,청담래미안,서울특별시 강남구 청담동 42 청담래미안,2,217,삼성물산(주),삼성물산(주),아파트,서울특별시 강남구 학동로 405,217,혼합식,19991029,51,58,108,0,1168010400
A13510009,청담래미안로이뷰,서울특별시 강남구 청담동 134 청담래미안로이뷰,1,177,청담두산리모델링조합,삼성물산,아파트,서울특별시 강남구 영동대로142길 16,177,계단식,19920131,0,0,177,0,1168010400
A13510001,청담삼성1차,서울특별시 강남구 청담동 33 청담삼성1차,1,158,삼성물산,삼성건설,아파트,서울특별시 강남구 삼성로133길 20,158,혼합식,19971219,70,88,0,0,1168010400
A13510005,청담삼성진흥,서울특별시 강남구 청담동 65 청담삼성진흥,7,630,타임종합기술,진흥기업(주),아파트,서울특별시 강남구 학동로 513,630,혼합식,19840718,0,2,242,386,1168010400
